ds,y,yhat1,residual1,trend,season_yearly
2000-01-01,1.48,1.4927173852920532,0.01271738529205324,1.0009702444076538,2.9990031719207764
2001-01-01,1.309,1.2713247537612915,-0.03767524623870844,0.9673698544502258,2.33148193359375
2002-01-01,1.178,1.2088841199874878,0.030884119987487857,0.9416182637214661,2.5546765327453613
2003-01-01,1.191,1.1858140230178833,-0.005185976982116758,0.9293469190597534,2.777212619781494
2004-01-01,1.164,1.159502625465393,-0.004497374534606857,0.9176457524299622,2.9990031719207764
2005-01-01,1.085,1.0774041414260864,-0.007595858573913539,0.9091613292694092,2.33148193359375
2006-01-01,1.132,1.1686434745788574,0.03664347457885753,0.9302977919578552,2.5546765327453613
2007-01-01,1.259,1.217132329940796,-0.041867670059204,0.9376383423805237,2.777212619781494
2008-01-01,1.192,1.202869176864624,0.010869176864624075,0.9284901022911072,2.9990031719207764
2009-01-01,1.149,1.1618748903274536,0.012874890327453592,0.9345166087150574,2.33148193359375
2010-01-01,1.226,1.2143205404281616,-0.011679459571838358,0.9431476593017578,2.5546765327453613
2011-01-01,1.244,1.258105993270874,0.014105993270874029,0.9484859108924866,2.777212619781494
2012-01-01,1.297,1.280285120010376,-0.016714879989623954,0.947848916053772,2.9990031719207764
2013-01-01,1.187,1.187553882598877,0.0005538825988768981,0.9422246217727661,2.33148193359375
2014-01-01,1.205,1.218168020248413,0.013168020248413015,0.9442300796508789,2.5546765327453613
2015-01-01,1.239,1.2290066480636597,-0.009993351936340433,0.9407820105552673,2.777212619781494
2016-01-01,1.172,1.1724439859390259,0.0004439859390259482,0.9208819270133972,2.9990031719207764
2017-01-01,1.052,1.0471892356872559,-0.004810764312744187,0.900091826915741,2.33148193359375
2018-01-01,0.977,0.9858839511871338,0.00888395118713381,0.878883957862854,2.5546765327453613
2019-01-01,0.918,0.9150981903076172,-0.0029018096923828507,0.8576761484146118,2.777212619781494
2020-01-01,0.837,0.8348737359046936,-0.0021262640953063627,0.8364682793617249,2.9990031719207764
2021-01-01,0.808,0.7643815279006958,-0.04361847209930425,0.8152023553848267,2.33148193359375
2022-01-01,0.808,0.6841294765472412,-0.12387052345275884,0.7939945459365845,2.5546765327453613
2022-12-31,,0.5380984544754028,,0.7728447914123535,3.6590383052825928
2023-12-31,,0.42068561911582947,,0.7516369819641113,3.8769853115081787
2024-12-31,,0.3870297372341156,,0.7303710579872131,3.2199621200561523
2025-12-31,,0.26940423250198364,,0.7091631889343262,3.440002202987671
2026-12-31,,0.142595112323761,,0.6879553198814392,3.6590383052825928
2027-12-31,,0.006680905818939209,,0.6667474508285522,3.8769853115081787
2028-12-31,,0.02879941463470459,,0.6454815864562988,3.2199621200561523
2029-12-31,,-0.10750526189804077,,0.6242737174034119,3.440002202987671
2030-12-31,,-0.2529078722000122,,0.6030659079551697,3.6590383052825928
2031-12-31,,-0.40732359886169434,,0.5818580389022827,3.8769853115081787
2032-12-31,,-0.3294306993484497,,0.5605921745300293,3.2199621200561523
2033-12-31,,-0.4844144582748413,,0.5393842458724976,3.440002202987671
2034-12-31,,-0.6484112739562988,,0.5181764364242554,3.6590383052825928
2035-12-31,,-0.8213282823562622,,0.4969685673713684,3.8769853115081787
2036-12-31,,-0.6876611709594727,,0.4757026731967926,3.2199621200561523
2037-12-31,,-0.8613239526748657,,0.45449480414390564,3.440002202987671
2038-12-31,,-1.0439144372940063,,0.43328702449798584,3.6590383052825928
2039-12-31,,-1.2353330850601196,,0.4120790958404541,3.8769853115081787
2040-12-31,,-1.045891523361206,,0.3908131718635559,3.2199621200561523
2041-12-31,,-1.238233208656311,,0.3696053922176361,3.440002202987671
2042-12-31,,-1.4394177198410034,,0.34839755296707153,3.6590383052825928
2043-12-31,,-1.649337887763977,,0.3271896243095398,3.8769853115081787
2044-12-31,,-1.4041212797164917,,0.30592381954193115,3.2199621200561523
2045-12-31,,-1.6151424646377563,,0.2847159504890442,3.440002202987671
